non-conserved,conserved
osa-miR2091-3p,
osa-miR2090,
osa-miR2055,
osa-miR1883b,
osa-miR1883a,
osa-miR1882h,
osa-miR1882g,
osa-miR1882f,
osa-miR1882e-5p,
osa-miR1882e-3p,
osa-miR1882d,
osa-miR1882c,
osa-miR1882b,
osa-miR1882a,
osa-miR1881,
osa-miR1880,
osa-miR1879,
osa-miR1877,
osa-miR1876,
osa-miR1875,
osa-miR1874-5p,
osa-miR1874-3p,
osa-miR1873,
osa-miR1872,
osa-miR1871,
osa-miR1870-5p,
osa-miR1870-3p,
osa-miR1868,
osa-miR1866-5p,
osa-miR1866-3p,
osa-miR1865-5p,
osa-miR1865-3p,
osa-miR1864,
osa-miR1863c,
osa-miR1863b.2,
osa-miR1863b,
osa-miR1863a,
osa-miR1862g,
osa-miR1862f,
osa-miR1862e,
osa-miR1862d,
osa-miR1862c,
osa-miR1862a,
osa-miR1861o,
osa-miR1861n,
osa-miR1861m,
osa-miR1861l,
osa-miR1861k,
osa-miR1861j,
osa-miR1861i,
osa-miR1861h,
osa-miR1861g,
osa-miR1861f,
osa-miR1861e,
osa-miR1861d,
osa-miR1861c,
osa-miR1861b,
osa-miR1861a,
osa-miR1860-5p,
osa-miR1860-3p,
osa-miR1858b,
osa-miR1858a,
osa-miR1857-5p,
osa-miR1857-3p,
osa-miR1856,
osa-miR1855,
osa-miR1854-5p,
osa-miR1854-3p,
osa-miR1853-5p,
osa-miR1853-3p,
osa-miR1852,
osa-miR1851,
osa-miR1850.3,
osa-miR1850.2,
osa-miR1850.1,
osa-miR1849,
osa-miR1848,
osa-miR1847.2,
osa-miR1847.1,
osa-miR1846e,
osa-miR1846d-5p,
osa-miR1846d-3p,
osa-miR1846c-5p,
osa-miR1846c-3p,
osa-miR1846b-5p,
osa-miR1846b-3p,
osa-miR1846a-5p,
osa-miR1846a-3p,
osa-miR169p,
osa-miR168b,
osa-miR1441,
osa-miR1440b,
osa-miR1440a,
osa-miR1438,
osa-miR1437b-5p,
osa-miR1437b-3p,
osa-miR1437a,
osa-miR1432-5p,
osa-miR1432-3p,
osa-miR1431,
osa-miR1429-5p,
osa-miR1429-3p,
osa-miR1428g-5p,
osa-miR1428f-5p,
osa-miR1428e-5p,
osa-miR1428e-3p,
osa-miR1428d,
osa-miR1428c,
osa-miR1428b,
osa-miR1428a-5p,
osa-miR1428a-3p,
osa-miR1427,
osa-miR1426,
osa-miR1425-5p,
osa-miR1425-3p,
osa-miR1424,
osa-miR1423-5p,
osa-miR1423-3p,
osa-miR1320-5p,
osa-miR1320-3p,
osa-miR1319b,
osa-miR1319a,
