Non-conserved,Conserved
osa-MIR1875,osa-MIR399a
osa-MIR1876,osa-MIR399b
osa-MIR1877,osa-MIR399c
osa-MIR1879,osa-MIR399d
osa-MIR1880,osa-MIR399e
osa-MIR1881,osa-MIR399f
osa-MIR2055,osa-MIR399g
osa-MIR2090,osa-MIR399h
osa-MIR2091,osa-MIR399i
osa-MIR2092,osa-MIR399j
osa-MIR2093,osa-MIR399k
osa-MIR2094,osa-MIR529a
osa-MIR2095,osa-MIR529b
osa-MIR2096,osa-MIR818a
osa-MIR2097,osa-MIR818b
osa-MIR2098,osa-MIR818c
osa-MIR2099,osa-MIR818d
osa-MIR2100,osa-MIR818e
osa-MIR2101,osa-MIR827
osa-MIR2102,osa-MIR535
osa-MIR2103,
osa-MIR2104,
osa-MIR2105,
osa-MIR2106,
osa-MIR2120,
osa-MIR2122,
osa-MIR2864,
osa-MIR2865,
osa-MIR2866,
osa-MIR2867,
osa-MIR2868,
osa-MIR2869,
osa-MIR2870,
osa-MIR2872,
osa-MIR2874,
osa-MIR2875,
osa-MIR2876,
osa-MIR2877,
osa-MIR2878,
osa-MIR2879,
osa-MIR2880,
osa-MIR2905,
osa-MIR2907c,
osa-MIR2918,
osa-MIR2919,
osa-MIR2920,
osa-MIR2921,
osa-MIR2922,
osa-MIR2923,
osa-MIR2924,
osa-MIR2925,
osa-MIR2926,
osa-MIR2927,
osa-MIR2928,
osa-MIR2929,
osa-MIR2930,
osa-MIR2931,
osa-MIR2932,
osa-MIR3979,
osa-MIR3981,
osa-MIR3982,
osa-MIR413,
osa-MIR414,
osa-MIR415,
osa-MIR416,
osa-MIR417,
osa-MIR418,
osa-MIR419,
osa-MIR426,
osa-MIR435,
osa-MIR438,
osa-MIR440,
osa-MIR443,
osa-MIR5071,
osa-MIR5072,
osa-MIR5073,
osa-MIR5074,
osa-MIR5075,
osa-MIR5076,
osa-MIR5077,
osa-MIR5078,
osa-MIR5080,
osa-MIR5081,
osa-MIR5082,
osa-MIR5083,
osa-MIR5144,
osa-MIR5145,
osa-MIR5146,
osa-MIR5147,
osa-MIR5149,
osa-MIR5150,
osa-MIR5151,
osa-MIR5152,
osa-MIR5153,
osa-MIR5154,
osa-MIR5155,
osa-MIR5156,
osa-MIR5158,
osa-MIR5159,
osa-MIR5161,
osa-MIR5162,
osa-MIR531c,
osa-MIR5337a,
osa-MIR5337b,
osa-MIR5338,
osa-MIR5339,
osa-MIR5340,
osa-MIR5484,
osa-MIR5485,
osa-MIR5486,
osa-MIR5487,
osa-MIR5488,
osa-MIR5489,
osa-MIR5490,
osa-MIR5491,
osa-MIR5492,
osa-MIR5493,
osa-MIR5494,
osa-MIR5495,
osa-MIR5496,
osa-MIR5497,
osa-MIR5498,
osa-MIR5499,
osa-MIR5500,
osa-MIR5501,
osa-MIR5502,
osa-MIR5503,
osa-MIR5504,
osa-MIR5505,
osa-MIR5506,
osa-MIR5507,
osa-MIR5508,
osa-MIR5509,
osa-MIR5510,
osa-MIR5511,
osa-MIR5513,
osa-MIR5514,
osa-MIR5515,
osa-MIR5517,
osa-MIR5518,
osa-MIR5519,
osa-MIR5521,
osa-MIR5522,
osa-MIR5523,
osa-MIR5524,
osa-MIR5525,
osa-MIR5526,
osa-MIR5527,
osa-MIR5528,
osa-MIR5529,
osa-MIR5530,
osa-MIR5531,
osa-MIR5532,
osa-MIR5533,
osa-MIR5535,
osa-MIR5536,
osa-MIR5537,
osa-MIR5538,
osa-MIR5541,
osa-MIR5542,
osa-MIR5543,
osa-MIR5544,
osa-MIR5788,
osa-MIR5789,
osa-MIR5790,
osa-MIR5791,
osa-MIR5792,
osa-MIR5793,
osa-MIR5794,
osa-MIR5795,
osa-MIR5796,
osa-MIR5797,
osa-MIR5798,
osa-MIR5799,
osa-MIR5800,
osa-MIR5801,
osa-MIR5802,
osa-MIR5803,
osa-MIR5804,
osa-MIR5805,
osa-MIR5806,
osa-MIR5807,
osa-MIR5808,
osa-MIR5809,
osa-MIR5810,
osa-MIR5811,
osa-MIR5812,
osa-MIR5813,
osa-MIR5814,
osa-MIR5815,
osa-MIR5816,
osa-MIR5817,
osa-MIR5818,
osa-MIR5819,
osa-MIR5820,
osa-MIR5821,
osa-MIR5822,
osa-MIR5823,
osa-MIR5825,
osa-MIR5826,
osa-MIR5827,
osa-MIR5828,
osa-MIR5829,
osa-MIR5830,
osa-MIR5831,
osa-MIR5832,
osa-MIR5833,
osa-MIR5834,
osa-MIR5835,
osa-MIR5836,
osa-MIR5837,
osa-MIR6245,
osa-MIR6246,
osa-MIR6247,
osa-MIR6248,
osa-MIR6249a,
osa-MIR6249b,
osa-MIR6250,
osa-MIR6251,
osa-MIR6252,
osa-MIR6253,
osa-MIR6254,
osa-MIR6255,
osa-MIR6256,
osa-MIR7692,
osa-MIR7693,
osa-MIR7694,
osa-MIR7695,
osa-MIR816,
osa-MIR817,
